graph_id,vertices,edges,prim_cost,prim_time_ms,prim_operations,kruskal_cost,kruskal_time_ms,kruskal_operations,cost_match,time_difference_ms,operations_difference
1,25,103,319,0.44,348,319,0.55,766,True,-0.11,-418
2,12,30,275,0.04,128,275,0.05,192,True,-0.01,-64
3,11,31,339,0.04,106,339,0.05,180,True,-0.01,-74
4,14,35,344,0.04,130,344,0.04,247,True,0.00,-117
5,7,11,125,0.02,45,125,0.02,65,True,0.00,-20
6,94,1173,512,0.60,2870,512,0.72,12280,True,-0.12,-9410
7,58,460,470,0.16,1235,470,0.27,4018,True,-0.11,-2783
8,296,9675,649,2.48,21390,649,3.57,127747,True,-1.09,-106357
9,228,6649,544,1.66,15196,544,1.22,81440,True,0.44,-66244
10,200,3742,748,0.99,8817,748,0.67,42434,True,0.32,-33617
11,294,16807,482,3.70,36452,482,2.82,237497,True,0.88,-201045
12,162,2271,758,0.43,6149,758,0.46,26287,True,-0.03,-20138
13,55,335,656,0.05,898,656,0.08,2963,True,-0.03,-2065
14,173,5471,400,0.60,12292,400,0.83,66843,True,-0.23,-54551
15,41,191,538,0.03,616,538,0.05,1580,True,-0.02,-964
16,520,19580,1049,2.32,42709,1049,3.08,277507,True,-0.76,-234798
17,823,65949,1084,37.82,138313,1084,10.62,1060884,True,27.20,-922571
18,950,71245,1303,10.57,150528,1303,11.46,1147061,True,-0.89,-996533
19,498,16126,1166,1.64,36076,1166,2.32,212976,True,-0.68,-176900
20,834,57098,1160,6.02,121120,1160,8.66,862409,True,-2.64,-741289
21,405,8442,1333,0.97,20157,1333,1.39,112615,True,-0.42,-92458
22,739,27996,1565,2.93,61699,1565,4.14,397121,True,-1.21,-335422
23,657,36586,1073,4.05,78187,1073,5.71,553516,True,-1.66,-475329
24,832,38074,1545,4.06,83760,1545,6.04,577315,True,-1.98,-493555
25,979,68079,1371,7.79,145506,1371,8.03,1096725,True,-0.24,-950219
26,1661,38185,5507,5.37,93371,5507,5.90,586469,True,-0.53,-493098
27,1796,110909,2705,15.06,238051,2705,12.09,1788277,True,2.97,-1550226
28,1529,105312,2203,15.02,227021,2203,12.21,1697718,True,2.81,-1470697
29,1265,67148,2140,7.78,146059,2140,8.39,1084332,True,-0.61,-938273
30,1960,57997,4980,8.76,135340,4980,7.96,885790,True,0.80,-750450
